,Name,Smiles,Binding
813,it3.5_AM-07_Imid-01_CA-30,CCCCNC(=O)N1CCN(C(=O)c2sccc2F)CC1,False
814,it3.5_AM-07_Imid-01_CA-32,CCCCNC(=O)N1CCN(C(=O)c2ncco2)CC1,False
815,it3.5_AM-08_Imid-01_CA-01,CC(C)NC(=O)N1CCN(C(=O)c2scc3c2OCCO3)CC1,False
819,it3.5_AM-08_Imid-01_CA-08,CC(C)NC(=O)N1CCN(C(=O)c2ccc3ncsc3c2)CC1,False
820,it3.5_AM-08_Imid-01_CA-10,CC(C)NC(=O)N1CCN(C(=O)c2c[nH]cn2)CC1,False
821,it3.5_AM-08_Imid-01_CA-12,CC(C)NC(=O)N1CCN(C(=O)Cc2ccccc2)CC1,False
822,it3.5_AM-08_Imid-01_CA-13,Cc1ccc(C(=O)N2CCN(C(=O)NC(C)C)CC2)cc1,False
824,it3.5_AM-08_Imid-01_CA-15,COc1cccc(C(=O)N2CCN(C(=O)NC(C)C)CC2)c1,False
826,it3.5_AM-08_Imid-01_CA-17,CC(C)NC(=O)N1CCN(C(=O)c2cncc(Br)c2)CC1,False
828,it3.5_AM-08_Imid-01_CA-19,CC(C)NC(=O)N1CCN(C(=O)C#Cc2ccccc2)CC1,False
829,it3.5_AM-08_Imid-01_CA-22,CC(C)NC(=O)N1CCN(C(=O)c2ccoc2)CC1,False
831,it3.5_AM-08_Imid-01_CA-24,CC(C)NC(=O)N1CCN(C(=O)c2ccno2)CC1,False
832,it3.5_AM-08_Imid-01_CA-32,CC(C)NC(=O)N1CCN(C(=O)c2ncco2)CC1,False
833,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCOC)o2)CC1,False
834,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-02,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CC3)o2)CC1,False
835,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-03,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC(F)(F)F)o2)CC1,False
836,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-04,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccs3)o2)CC1,False
837,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-05,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N(C)Cc3ccc(C)o3)o2)CC1,False
838,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-06,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3cc(C)on3)o2)CC1,False
839,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-07,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CCCO3)o2)CC1,False
840,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-09,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccnc3)o2)CC1,False
841,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-10,C#CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCCOC)CC2)o1,False
842,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-11,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
843,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-12,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CC3)o2)CC1,False
844,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-13,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
845,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-16,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
846,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-17,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCC(C)C)o2)CC1,False
847,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-18,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
848,it4.2_AM-01_Imid-01_SO2Cl-01_AM-SO2Cl-20,COCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N(C)CCN(C)C)o2)CC1,False
849,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC3CC3)CC2)o1,False
850,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-02,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CC3)o2)CC1,False
851,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-03,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC(F)(F)F)o2)CC1,False
852,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-04,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccs3)o2)CC1,False
853,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-05,Cc1ccc(CN(C)S(=O)(=O)c2ccc(C(=O)N3CCN(C(=O)NCC4CC4)CC3)o2)o1,False
854,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-06,Cc1cc(NS(=O)(=O)c2ccc(C(=O)N3CCN(C(=O)NCC4CC4)CC3)o2)no1,False
855,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-07,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CCCO3)o2)CC1,False
856,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-08,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCO)o2)CC1,False
857,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-09,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccnc3)o2)CC1,False
858,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-10,C#CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC3CC3)CC2)o1,False
859,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-11,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
860,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-12,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CC3)o2)CC1,False
861,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-13,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
862,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-16,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
863,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-17,CC(C)CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC3CC3)CC2)o1,False
864,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-18,O=C(NCC1CC1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
865,it4.2_AM-02_Imid-01_SO2Cl-01_AM-SO2Cl-20,CN(C)CCN(C)S(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC3CC3)CC2)o1,False
866,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCc3cccs3)CC2)o1,False
867,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-02,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CC3)o2)CC1,False
868,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-03,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC(F)(F)F)o2)CC1,False
869,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-04,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccs3)o2)CC1,False
870,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-05,Cc1ccc(CN(C)S(=O)(=O)c2ccc(C(=O)N3CCN(C(=O)NCc4cccs4)CC3)o2)o1,False
871,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-06,Cc1cc(NS(=O)(=O)c2ccc(C(=O)N3CCN(C(=O)NCc4cccs4)CC3)o2)no1,False
872,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-07,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CCCO3)o2)CC1,False
873,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-08,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCO)o2)CC1,False
874,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-09,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccnc3)o2)CC1,False
875,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-10,C#CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCc3cccs3)CC2)o1,False
876,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-11,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
877,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-12,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CC3)o2)CC1,False
878,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-13,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
879,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-16,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
880,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-17,CC(C)CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCc3cccs3)CC2)o1,False
881,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-18,O=C(NCc1cccs1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
882,it4.2_AM-03_Imid-01_SO2Cl-01_AM-SO2Cl-20,CN(C)CCN(C)S(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCc3cccs3)CC2)o1,False
883,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC(F)(F)F)CC2)o1,False
884,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-02,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CC3)o2)CC1,False
885,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-03,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC(F)(F)F)o2)CC1,False
886,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-04,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccs3)o2)CC1,False
887,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-07,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CCCO3)o2)CC1,False
888,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-08,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCO)o2)CC1,False
889,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-10,C#CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC(F)(F)F)CC2)o1,False
890,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-11,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
891,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-12,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CC3)o2)CC1,False
892,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-13,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
893,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-16,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
894,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-17,CC(C)CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC(F)(F)F)CC2)o1,False
895,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-18,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
896,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-19,CS(=O)(=O)N1CCN(S(=O)(=O)c2ccc(C(=O)N3CCN(C(=O)NCC(F)(F)F)CC3)o2)CC1,False
897,it4.2_AM-04_Imid-01_SO2Cl-01_AM-SO2Cl-20,CN(C)CCN(C)S(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCC(F)(F)F)CC2)o1,False
898,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCc3cccnc3)CC2)o1,False
899,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-02,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CC3)o2)CC1,False
900,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-03,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC(F)(F)F)o2)CC1,False
901,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-04,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccs3)o2)CC1,False
902,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-05,Cc1ccc(CN(C)S(=O)(=O)c2ccc(C(=O)N3CCN(C(=O)NCc4cccnc4)CC3)o2)o1,False
903,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-07,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CCCO3)o2)CC1,False
904,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-09,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccnc3)o2)CC1,False
905,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-10,C#CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCc3cccnc3)CC2)o1,False
906,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-11,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
907,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-12,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CC3)o2)CC1,False
908,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-13,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
909,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-16,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
910,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-17,CC(C)CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCc3cccnc3)CC2)o1,False
911,it4.2_AM-05_Imid-01_SO2Cl-01_AM-SO2Cl-18,O=C(NCc1cccnc1)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
912,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)Nc3ccc(OC)cc3)CC2)o1,False
913,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-02,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)NCC4CC4)o3)CC2)cc1,False
914,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-03,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)NCC(F)(F)F)o3)CC2)cc1,False
915,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-04,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)NCc4cccs4)o3)CC2)cc1,False
916,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-06,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)Nc4cc(C)on4)o3)CC2)cc1,False
917,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-07,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)NCC4CCCO4)o3)CC2)cc1,False
918,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-09,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)NCc4cccnc4)o3)CC2)cc1,False
919,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-10,C#CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)Nc3ccc(OC)cc3)CC2)o1,False
920,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-11,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)NC4CCCC4)o3)CC2)cc1,False
922,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-13,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)N4CCSCC4)o3)CC2)cc1,False
923,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-16,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)Nc4ccc(F)cc4F)o3)CC2)cc1,False
924,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-17,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)NCCC(C)C)o3)CC2)cc1,False
925,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-18,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)NCc4ccccc4)o3)CC2)cc1,False
926,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-19,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)N4CCN(S(C)(=O)=O)CC4)o3)CC2)cc1,False
927,it4.2_AM-06_Imid-01_SO2Cl-01_AM-SO2Cl-20,COc1ccc(NC(=O)N2CCN(C(=O)c3ccc(S(=O)(=O)N(C)CCN(C)C)o3)CC2)cc1,False
928,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-01,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCOC)o2)CC1,False
929,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-02,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CC3)o2)CC1,False
930,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-03,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC(F)(F)F)o2)CC1,False
931,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-04,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccs3)o2)CC1,False
932,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-05,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N(C)Cc3ccc(C)o3)o2)CC1,False
933,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-06,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3cc(C)on3)o2)CC1,False
934,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-07,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CCCO3)o2)CC1,False
935,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-08,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCO)o2)CC1,False
936,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-09,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccnc3)o2)CC1,False
937,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-10,C#CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NCCCC)CC2)o1,False
938,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-11,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
939,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-12,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CC3)o2)CC1,False
940,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-13,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
941,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-16,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
942,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-17,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCC(C)C)o2)CC1,False
943,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-18,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
944,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-19,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCN(S(C)(=O)=O)CC3)o2)CC1,False
945,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-20,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N(C)CCN(C)C)o2)CC1,False
946,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NC(C)C)CC2)o1,False
947,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-02,CC(C)NC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CC3)o2)CC1,False
948,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-03,CC(C)NC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC(F)(F)F)o2)CC1,False
949,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-04,CC(C)NC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3cccs3)o2)CC1,False
950,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-07,CC(C)NC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CCCO3)o2)CC1,False
951,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-11,CC(C)NC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
953,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-13,CC(C)NC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
954,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-16,CC(C)NC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
955,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-17,CC(C)CCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NC(C)C)CC2)o1,False
956,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-18,CC(C)NC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
